Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\config,4,735,312,205,39,78,0,345,1727,107,674
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\entity,12,1272,474,335,60,142,0,656,3352,315,2012
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods,19,2054,874,618,130,284,1,896,4954,497,3180
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\params,4,337,94,55,7,32,0,211,1184,108,675
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\protocol,10,1297,702,519,87,164,0,431,2428,263,1678
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\utils,7,2162,1123,837,225,149,11,890,4740,185,1175
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\conn,70,7555,2687,1796,407,788,23,4080,24249,1843,11737
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\conn\params,4,246,21,14,0,20,0,205,1150,108,675
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\conn\routing,7,1266,521,353,104,148,2,597,3424,185,1176
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\conn\scheme,13,1334,444,283,62,135,0,755,4461,342,2178
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\conn\socket,4,264,74,45,4,28,0,162,976,107,675
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\conn\ssl,14,1739,863,570,141,176,7,700,4212,367,2344
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\conn\util,7,750,351,250,72,81,10,318,1906,185,1175
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\cookie,20,1546,364,271,34,173,0,1009,5736,527,3355
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\cookie\params,2,99,7,5,0,8,0,84,485,56,341
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\impl,135,21696,12701,8694,1579,2309,46,6686,37790,3549,22683
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\impl\auth,20,4841,2898,2036,352,528,37,1415,7787,524,3353
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\impl\client,39,6066,3232,2251,443,611,3,2223,12175,1038,6605
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\impl\conn,22,3340,2114,1401,211,386,2,840,4988,576,3685
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\impl\cookie,39,4941,2809,1846,385,510,3,1622,9173,1018,6527
